id,parent_id,name,display_name,tier1,tier2,tier3,tier4,path,depth,is_leaf,children_count
21,16,Driverless Cars,Automotive: Driverless Cars,Automotive,Auto Type,Driverless Cars,,Automotive > Auto Type > Driverless Cars,3,True,0
22,16,Green Vehicles,Automotive: Green Vehicles,Automotive,Auto Type,Green Vehicles,,Automotive > Auto Type > Green Vehicles,3,True,0
23,16,Luxury Cars,Automotive: Luxury Cars,Automotive,Auto Type,Luxury Cars,,Automotive > Auto Type > Luxury Cars,3,True,0
24,16,Performance Cars,Automotive: Performance Cars,Automotive,Auto Type,Performance Cars,,Automotive > Auto Type > Performance Cars,3,True,0
25,1,Car Culture,Automotive: Car Culture,Automotive,Car Culture,,,Automotive > Car Culture,2,True,0
26,1,Dash Cam Videos,Automotive: Dash Cam Videos,Automotive,Dash Cam Videos,,,Automotive > Dash Cam Videos,2,True,0
27,1,Motorcycles,Automotive: Motorcycles,Automotive,Motorcycles,,,Automotive > Motorcycles,2,True,0
28,1,Road-Side Assistance,Automotive: Road-Side Assistance,Automotive,Road-Side Assistance,,,Automotive > Road-Side Assistance,2,True,0
29,1,Scooters,Automotive: Scooters,Automotive,Scooters,,,Automotive > Scooters,2,True,0
30,1,Auto Buying and Selling,Automotive: Auto Buying and Selling,Automotive,Auto Buying and Selling,,,Automotive > Auto Buying and Selling,2,True,0
31,1,Auto Insurance,Automotive: Auto Insurance,Automotive,Auto Insurance,,,Automotive > Auto Insurance,2,True,0
32,1,Auto Parts,Automotive: Auto Parts,Automotive,Auto Parts,,,Automotive > Auto Parts,2,True,0
33,1,Auto Recalls,Automotive: Auto Recalls,Automotive,Auto Recalls,,,Automotive > Auto Recalls,2,True,0
34,1,Auto Repair,Automotive: Auto Repair,Automotive,Auto Repair,,,Automotive > Auto Repair,2,True,0
35,1,Auto Safety,Automotive: Auto Safety,Automotive,Auto Safety,,,Automotive > Auto Safety,2,True,0
36,1,Auto Shows,Automotive: Auto Shows,Automotive,Auto Shows,,,Automotive > Auto Shows,2,True,0
37,1,Auto Technology,Automotive: Auto Technology,Automotive,Auto Technology,,,Automotive > Auto Technology,2,False,3
38,37,Auto Infotainment Technologies,Automotive: Auto Infotainment Technologies,Automotive,Auto Technology,Auto Infotainment Technologies,,Automotive > Auto Technology > Auto Infotainment Technologies,3,True,0
39,37,Auto Navigation Systems,Automotive: Auto Navigation Systems,Automotive,Auto Technology,Auto Navigation Systems,,Automotive > Auto Technology > Auto Navigation Systems,3,True,0
40,37,Auto Safety Technologies,Automotive: Auto Safety Technologies,Automotive,Auto Technology,Auto Safety Technologies,,Automotive > Auto Technology > Auto Safety Technologies,3,True,0
41,1,Auto Rentals,Automotive: Auto Rentals,Automotive,Auto Rentals,,,Automotive > Auto Rentals,2,True,0
42,,Books and Literature,Books and Literature: Books and Literature,Books and Literature,,,,Books and Literature,1,False,9
43,42,Art and Photography Books,Books and Literature: Art and Photography Books,Books and Literature,Art and Photography Books,,,Books and Literature > Art and Photography Books,2,True,0
44,42,Biographies,Books and Literature: Biographies,Books and Literature,Biographies,,,Books and Literature > Biographies,2,True,0
45,42,Children's Literature,Books and Literature: Children's Literature,Books and Literature,Children's Literature,,,Books and Literature > Children's Literature,2,True,0
46,42,Comics and Graphic Novels,Books and Literature: Comics and Graphic Novels,Books and Literature,Comics and Graphic Novels,,,Books and Literature > Comics and Graphic Novels,2,True,0
47,42,Cookbooks,Books and Literature: Cookbooks,Books and Literature,Cookbooks,,,Books and Literature > Cookbooks,2,True,0
48,42,Fiction,Books and Literature: Fiction,Books and Literature,Fiction,,,Books and Literature > Fiction,2,True,0
49,42,Poetry,Books and Literature: Poetry,Books and Literature,Poetry,,,Books and Literature > Poetry,2,True,0
50,42,Travel Books,Books and Literature: Travel Books,Books and Literature,Travel Books,,,Books and Literature > Travel Books,2,True,0
51,42,Young Adult Literature,Books and Literature: Young Adult Literature,Books and Literature,Young Adult Literature,,,Books and Literature > Young Adult Literature,2,True,0
52,,Business and Finance,Business and Finance: Business and Finance,Business and Finance,,,,Business and Finance,1,False,3
53,52,Business,Business and Finance: Business,Business and Finance,Business,,,Business and Finance > Business,2,False,17
54,53,Business Accounting & Finance,Business and Finance: Business Accounting & Finance,Business and Finance,Business,Business Accounting & Finance,,Business and Finance > Business > Business Accounting & Finance,3,True,0
55,53,Human Resources,Business and Finance: Human Resources,Business and Finance,Business,Human Resources,,Business and Finance > Business > Human Resources,3,True,0
56,53,Large Business,Business and Finance: Large Business,Business and Finance,Business,Large Business,,Business and Finance > Business > Large Business,3,True,0
57,53,Logistics,Business and Finance: Logistics,Business and Finance,Business,Logistics,,Business and Finance > Business > Logistics,3,True,0
58,53,Marketing and Advertising,Business and Finance: Marketing and Advertising,Business and Finance,Business,Marketing and Advertising,,Business and Finance > Business > Marketing and Advertising,3,True,0
59,53,Sales,Business and Finance: Sales,Business and Finance,Business,Sales,,Business and Finance > Business > Sales,3,True,0
60,53,Small and Medium-sized Business,Business and Finance: Small and Medium-sized Business,Business and Finance,Business,Small and Medium-sized Business,,Business and Finance > Business > Small and Medium-sized Business,3,True,0
61,53,Startups,Business and Finance: Startups,Business and Finance,Business,Startups,,Business and Finance > Business > Startups,3,True,0
62,53,Business Administration,Business and Finance: Business Administration,Business and Finance,Business,Business Administration,,Business and Finance > Business > Business Administration,3,True,0
63,53,Business Banking & Finance,Business and Finance: Business Banking & Finance,Business and Finance,Business,Business Banking & Finance,,Business and Finance > Business > Business Banking & Finance,3,False,8
64,63,Angel Investment,Business and Finance: Angel Investment,Business and Finance,Business,Business Banking & Finance,Angel Investment,Business and Finance > Business > Business Banking & Finance > Angel Investment,4,True,0
65,63,Bankruptcy,Business and Finance: Bankruptcy,Business and Finance,Business,Business Banking & Finance,Bankruptcy,Business and Finance > Business > Business Banking & Finance > Bankruptcy,4,True,0
66,63,Business Loans,Business and Finance: Business Loans,Business and Finance,Business,Business Banking & Finance,Business Loans,Business and Finance > Business > Business Banking & Finance > Business Loans,4,True,0
67,63,Debt Factoring & Invoice Discounting,Business and Finance: Debt Factoring & Invoice Discounting,Business and Finance,Business,Business Banking & Finance,Debt Factoring & Invoice Discounting,Business and Finance > Business > Business Banking & Finance > Debt Factoring & Invoice Discounting,4,True,0
68,63,Mergers and Acquisitions,Business and Finance: Mergers and Acquisitions,Business and Finance,Business,Business Banking & Finance,Mergers and Acquisitions,Business and Finance > Business > Business Banking & Finance > Mergers and Acquisitions,4,True,0
69,63,Private Equity,Business and Finance: Private Equity,Business and Finance,Business,Business Banking & Finance,Private Equity,Business and Finance > Business > Business Banking & Finance > Private Equity,4,True,0
70,63,Sale & Lease Back,Business and Finance: Sale & Lease Back,Business and Finance,Business,Business Banking & Finance,Sale & Lease Back,Business and Finance > Business > Business Banking & Finance > Sale & Lease Back,4,True,0
71,63,Venture Capital,Business and Finance: Venture Capital,Business and Finance,Business,Business Banking & Finance,Venture Capital,Business and Finance > Business > Business Banking & Finance > Venture Capital,4,True,0
72,53,Business I.T.,Business and Finance: Business I.T.,Business and Finance,Business,Business I.T.,,Business and Finance > Business > Business I.T.,3,True,0
73,53,Business Operations,Business and Finance: Business Operations,Business and Finance,Business,Business Operations,,Business and Finance > Business > Business Operations,3,True,0
74,53,Consumer Issues,Business and Finance: Consumer Issues,Business and Finance,Business,Consumer Issues,,Business and Finance > Business > Consumer Issues,3,False,1
75,74,Recalls,Business and Finance: Recalls,Business and Finance,Business,Consumer Issues,Recalls,Business and Finance > Business > Consumer Issues > Recalls,4,True,0
76,53,Executive Leadership & Management,Business and Finance: Executive Leadership & Management,Business and Finance,Business,Executive Leadership & Management,,Business and Finance > Business > Executive Leadership & Management,3,True,0
77,53,Government Business,Business and Finance: Government Business,Business and Finance,Business,Government Business,,Business and Finance > Business > Government Business,3,True,0
78,53,Green Solutions,Business and Finance: Green Solutions,Business and Finance,Business,Green Solutions,,Business and Finance > Business > Green Solutions,3,True,0
79,53,Business Utilities,Business and Finance: Business Utilities,Business and Finance,Business,Business Utilities,,Business and Finance > Business > Business Utilities,3,True,0
80,52,Economy,Business and Finance: Economy,Business and Finance,Economy,,,Business and Finance > Economy,2,False,9
81,80,Commodities,Business and Finance: Commodities,Business and Finance,Economy,Commodities,,Business and Finance > Economy > Commodities,3,True,0
82,80,Currencies,Business and Finance: Currencies,Business and Finance,Economy,Currencies,,Business and Finance > Economy > Currencies,3,True,0
83,80,Financial Crisis,Business and Finance: Financial Crisis,Business and Finance,Economy,Financial Crisis,,Business and Finance > Economy > Financial Crisis,3,True,0
84,80,Financial Reform,Business and Finance: Financial Reform,Business and Finance,Economy,Financial Reform,,Business and Finance > Economy > Financial Reform,3,True,0
85,80,Financial Regulation,Business and Finance: Financial Regulation,Business and Finance,Economy,Financial Regulation,,Business and Finance > Economy > Financial Regulation,3,True,0
86,80,Gasoline Prices,Business and Finance: Gasoline Prices,Business and Finance,Economy,Gasoline Prices,,Business and Finance > Economy > Gasoline Prices,3,True,0
87,80,Housing Market,Business and Finance: Housing Market,Business and Finance,Economy,Housing Market,,Business and Finance > Economy > Housing Market,3,True,0
88,80,Interest Rates,Business and Finance: Interest Rates,Business and Finance,Economy,Interest Rates,,Business and Finance > Economy > Interest Rates,3,True,0
89,80,Job Market,Business and Finance: Job Market,Business and Finance,Economy,Job Market,,Business and Finance > Economy > Job Market,3,True,0
90,52,Industries,Business and Finance: Industries,Business and Finance,Industries,,,Business and Finance > Industries,2,False,32
91,90,Advertising Industry,Business and Finance: Advertising Industry,Business and Finance,Industries,Advertising Industry,,Business and Finance > Industries > Advertising Industry,3,True,0
92,90,Education industry,Business and Finance: Education industry,Business and Finance,Industries,Education industry,,Business and Finance > Industries > Education industry,3,True,0
93,90,Entertainment Industry,Business and Finance: Entertainment Industry,Business and Finance,Industries,Entertainment Industry,,Business and Finance > Industries > Entertainment Industry,3,True,0
94,90,Environmental Services Industry,Business and Finance: Environmental Services Industry,Business and Finance,Industries,Environmental Services Industry,,Business and Finance > Industries > Environmental Services Industry,3,True,0
95,90,Financial Industry,Business and Finance: Financial Industry,Business and Finance,Industries,Financial Industry,,Business and Finance > Industries > Financial Industry,3,True,0
96,90,Food Industry,Business and Finance: Food Industry,Business and Finance,Industries,Food Industry,,Business and Finance > Industries > Food Industry,3,True,0
97,90,Healthcare Industry,Business and Finance: Healthcare Industry,Business and Finance,Industries,Healthcare Industry,,Business and Finance > Industries > Healthcare Industry,3,True,0
98,90,Hospitality Industry,Business and Finance: Hospitality Industry,Business and Finance,Industries,Hospitality Industry,,Business and Finance > Industries > Hospitality Industry,3,True,0
99,90,Information Services Industry,Business and Finance: Information Services Industry,Business and Finance,Industries,Information Services Industry,,Business and Finance > Industries > Information Services Industry,3,True,0
100,90,Legal Services Industry,Business and Finance: Legal Services Industry,Business and Finance,Industries,Legal Services Industry,,Business and Finance > Industries > Legal Services Industry,3,True,0
101,90,Logistics and Transportation Industry,Business and Finance: Logistics and Transportation Industry,Business and Finance,Industries,Logistics and Transportation Industry,,Business and Finance > Industries > Logistics and Transportation Industry,3,True,0
102,90,Agriculture,Business and Finance: Agriculture,Business and Finance,Industries,Agriculture,,Business and Finance > Industries > Agriculture,3,True,0
103,90,Management Consulting Industry,Business and Finance: Management Consulting Industry,Business and Finance,Industries,Management Consulting Industry,,Business and Finance > Industries > Management Consulting Industry,3,True,0
104,90,Manufacturing Industry,Business and Finance: Manufacturing Industry,Business and Finance,Industries,Manufacturing Industry,,Business and Finance > Industries > Manufacturing Industry,3,True,0
105,90,Mechanical and Industrial Engineering Industry,Business and Finance: Mechanical and Industrial Engineering Industry,Business and Finance,Industries,Mechanical and Industrial Engineering Industry,,Business and Finance > Industries > Mechanical and Industrial Engineering Industry,3,True,0
106,90,Media Industry,Business and Finance: Media Industry,Business and Finance,Industries,Media Industry,,Business and Finance > Industries > Media Industry,3,True,0
107,90,Metals Industry,Business and Finance: Metals Industry,Business and Finance,Industries,Metals Industry,,Business and Finance > Industries > Metals Industry,3,True,0
108,90,Non-Profit Organizations,Business and Finance: Non-Profit Organizations,Business and Finance,Industries,Non-Profit Organizations,,Business and Finance > Industries > Non-Profit Organizations,3,True,0
109,90,Pharmaceutical Industry,Business and Finance: Pharmaceutical Industry,Business and Finance,Industries,Pharmaceutical Industry,,Business and Finance > Industries > Pharmaceutical Industry,3,True,0
110,90,Power and Energy Industry,Business and Finance: Power and Energy Industry,Business and Finance,Industries,Power and Energy Industry,,Business and Finance > Industries > Power and Energy Industry,3,True,0
111,90,Publishing Industry,Business and Finance: Publishing Industry,Business and Finance,Industries,Publishing Industry,,Business and Finance > Industries > Publishing Industry,3,True,0
112,90,Real Estate Industry,Business and Finance: Real Estate Industry,Business and Finance,Industries,Real Estate Industry,,Business and Finance > Industries > Real Estate Industry,3,True,0
113,90,Apparel Industry,Business and Finance: Apparel Industry,Business and Finance,Industries,Apparel Industry,,Business and Finance > Industries > Apparel Industry,3,True,0
114,90,Retail Industry,Business and Finance: Retail Industry,Business and Finance,Industries,Retail Industry,,Business and Finance > Industries > Retail Industry,3,True,0
115,90,Technology Industry,Business and Finance: Technology Industry,Business and Finance,Industries,Technology Industry,,Business and Finance > Industries > Technology Industry,3,True,0
116,90,Telecommunications Industry,Business and Finance: Telecommunications Industry,Business and Finance,Industries,Telecommunications Industry,,Business and Finance > Industries > Telecommunications Industry,3,True,0
117,90,Automotive Industry,Business and Finance: Automotive Industry,Business and Finance,Industries,Automotive Industry,,Business and Finance > Industries > Automotive Industry,3,True,0
118,90,Aviation Industry,Business and Finance: Aviation Industry,Business and Finance,Industries,Aviation Industry,,Business and Finance > Industries > Aviation Industry,3,True,0
119,90,Biotech and Biomedical Industry,Business and Finance: Biotech and Biomedical Industry,Business and Finance,Industries,Biotech and Biomedical Industry,,Business and Finance > Industries > Biotech and Biomedical Industry,3,True,0
120,90,Civil Engineering Industry,Business and Finance: Civil Engineering Industry,Business and Finance,Industries,Civil Engineering Industry,,Business and Finance > Industries > Civil Engineering Industry,3,True,0
121,90,Construction Industry,Business and Finance: Construction Industry,Business and Finance,Industries,Construction Industry,,Business and Finance > Industries > Construction Industry,3,True,0
122,90,Defense Industry,Business and Finance: Defense Industry,Business and Finance,Industries,Defense Industry,,Business and Finance > Industries > Defense Industry,3,True,0
123,,Careers,Careers: Careers,Careers,,,,Careers,1,False,6
124,123,Apprenticeships,Careers: Apprenticeships,Careers,Apprenticeships,,,Careers > Apprenticeships,2,True,0
125,123,Career Advice,Careers: Career Advice,Careers,Career Advice,,,Careers > Career Advice,2,True,0
126,123,Career Planning,Careers: Career Planning,Careers,Career Planning,,,Careers > Career Planning,2,True,0
127,123,Job Search,Careers: Job Search,Careers,Job Search,,,Careers > Job Search,2,False,2
128,127,Job Fairs,Careers: Job Fairs,Careers,Job Search,Job Fairs,,Careers > Job Search > Job Fairs,3,True,0
129,127,Resume Writing and Advice,Careers: Resume Writing and Advice,Careers,Job Search,Resume Writing and Advice,,Careers > Job Search > Resume Writing and Advice,3,True,0
130,123,Remote Working,Careers: Remote Working,Careers,Remote Working,,,Careers > Remote Working,2,True,0
131,123,Vocational Training,Careers: Vocational Training,Careers,Vocational Training,,,Careers > Vocational Training,2,True,0
132,,Education,Education: Education,Education,,,,Education,1,False,12
133,132,Adult Education,Education: Adult Education,Education,Adult Education,,,Education > Adult Education,2,True,0
134,132,Private School,Education: Private School,Education,Private School,,,Education > Private School,2,True,0
135,132,Secondary Education,Education: Secondary Education,Education,Secondary Education,,,Education > Secondary Education,2,True,0
136,132,Special Education,Education: Special Education,Education,Special Education,,,Education > Special Education,2,True,0
137,132,College Education,Education: College Education,Education,College Education,,,Education > College Education,2,False,3
138,137,College Planning,Education: College Planning,Education,College Education,College Planning,,Education > College Education > College Planning,3,True,0
139,137,Postgraduate Education,Education: Postgraduate Education,Education,College Education,Postgraduate Education,,Education > College Education > Postgraduate Education,3,False,1
140,139,Professional School,Education: Professional School,Education,College Education,Postgraduate Education,Professional School,Education > College Education > Postgraduate Education > Professional School,4,True,0
141,137,Undergraduate Education,Education: Undergraduate Education,Education,College Education,Undergraduate Education,,Education > College Education > Undergraduate Education,3,True,0
142,132,Early Childhood Education,Education: Early Childhood Education,Education,Early Childhood Education,,,Education > Early Childhood Education,2,True,0
143,132,Educational Assessment,Education: Educational Assessment,Education,Educational Assessment,,,Education > Educational Assessment,2,False,1
144,143,Standardized Testing,Education: Standardized Testing,Education,Educational Assessment,Standardized Testing,,Education > Educational Assessment > Standardized Testing,3,True,0
145,132,Homeschooling,Education: Homeschooling,Education,Homeschooling,,,Education > Homeschooling,2,True,0
146,132,Homework and Study,Education: Homework and Study,Education,Homework and Study,,,Education > Homework and Study,2,True,0
147,132,Language Learning,Education: Language Learning,Education,Language Learning,,,Education > Language Learning,2,True,0
148,132,Online Education,Education: Online Education,Education,Online Education,,,Education > Online Education,2,True,0
149,132,Primary Education,Education: Primary Education,Education,Primary Education,,,Education > Primary Education,2,True,0
150,,Events and Attractions,Events and Attractions: Events and Attractions,Events and Attractions,,,,Events and Attractions,1,False,25
151,150,Amusement and Theme Parks,Events and Attractions: Amusement and Theme Parks,Events and Attractions,Amusement and Theme Parks,,,Events and Attractions > Amusement and Theme Parks,2,True,0
152,150,Fashion Events,Events and Attractions: Fashion Events,Events and Attractions,Fashion Events,,,Events and Attractions > Fashion Events,2,True,0
153,150,Historic Site and Landmark Tours,Events and Attractions: Historic Site and Landmark Tours,Events and Attractions,Historic Site and Landmark Tours,,,Events and Attractions > Historic Site and Landmark Tours,2,True,0
154,150,Malls & Shopping Centers,Events and Attractions: Malls & Shopping Centers,Events and Attractions,Malls & Shopping Centers,,,Events and Attractions > Malls & Shopping Centers,2,True,0
155,150,Museums & Galleries,Events and Attractions: Museums & Galleries,Events and Attractions,Museums & Galleries,,,Events and Attractions > Museums & Galleries,2,True,0
156,150,Musicals,Events and Attractions: Musicals,Events and Attractions,Musicals,,,Events and Attractions > Musicals,2,True,0
157,150,National & Civic Holidays,Events and Attractions: National & Civic Holidays,Events and Attractions,National & Civic Holidays,,,Events and Attractions > National & Civic Holidays,2,True,0
158,150,Nightclubs,Events and Attractions: Nightclubs,Events and Attractions,Nightclubs,,,Events and Attractions > Nightclubs,2,True,0
159,150,Outdoor Activities,Events and Attractions: Outdoor Activities,Events and Attractions,Outdoor Activities,,,Events and Attractions > Outdoor Activities,2,True,0
160,150,Parks & Nature,Events and Attractions: Parks & Nature,Events and Attractions,Parks & Nature,,,Events and Attractions > Parks & Nature,2,True,0
161,150,Party Supplies and Decorations,Events and Attractions: Party Supplies and Decorations,Events and Attractions,Party Supplies and Decorations,,,Events and Attractions > Party Supplies and Decorations,2,True,0
162,150,Awards Shows,Events and Attractions: Awards Shows,Events and Attractions,Awards Shows,,,Events and Attractions > Awards Shows,2,True,0
163,150,Personal Celebrations & Life Events,Events and Attractions: Personal Celebrations & Life Events,Events and Attractions,Personal Celebrations & Life Events,,,Events and Attractions > Personal Celebrations & Life Events,2,False,10
164,163,Anniversary,Events and Attractions: Anniversary,Events and Attractions,Personal Celebrations & Life Events,Anniversary,,Events and Attractions > Personal Celebrations & Life Events > Anniversary,3,True,0
165,163,Wedding,Events and Attractions: Wedding,Events and Attractions,Personal Celebrations & Life Events,Wedding,,Events and Attractions > Personal Celebrations & Life Events > Wedding,3,True,0
166,163,Baby Shower,Events and Attractions: Baby Shower,Events and Attractions,Personal Celebrations & Life Events,Baby Shower,,Events and Attractions > Personal Celebrations & Life Events > Baby Shower,3,True,0
167,163,Bachelor Party,Events and Attractions: Bachelor Party,Events and Attractions,Personal Celebrations & Life Events,Bachelor Party,,Events and Attractions > Personal Celebrations & Life Events > Bachelor Party,3,True,0
168,163,Bachelorette Party,Events and Attractions: Bachelorette Party,Events and Attractions,Personal Celebrations & Life Events,Bachelorette Party,,Events and Attractions > Personal Celebrations & Life Events > Bachelorette Party,3,True,0
169,163,Birth,Events and Attractions: Birth,Events and Attractions,Personal Celebrations & Life Events,Birth,,Events and Attractions > Personal Celebrations & Life Events > Birth,3,True,0
170,163,Birthday,Events and Attractions: Birthday,Events and Attractions,Personal Celebrations & Life Events,Birthday,,Events and Attractions > Personal Celebrations & Life Events > Birthday,3,True,0
171,163,Funeral,Events and Attractions: Funeral,Events and Attractions,Personal Celebrations & Life Events,Funeral,,Events and Attractions > Personal Celebrations & Life Events > Funeral,3,True,0
172,163,Graduation,Events and Attractions: Graduation,Events and Attractions,Personal Celebrations & Life Events,Graduation,,Events and Attractions > Personal Celebrations & Life Events > Graduation,3,True,0
173,163,Prom,Events and Attractions: Prom,Events and Attractions,Personal Celebrations & Life Events,Prom,,Events and Attractions > Personal Celebrations & Life Events > Prom,3,True,0
174,150,Political Event,Events and Attractions: Political Event,Events and Attractions,Political Event,,,Events and Attractions > Political Event,2,True,0
175,150,Religious Events,Events and Attractions: Religious Events,Events and Attractions,Religious Events,,,Events and Attractions > Religious Events,2,True,0
176,150,Sporting Events,Events and Attractions: Sporting Events,Events and Attractions,Sporting Events,,,Events and Attractions > Sporting Events,2,True,0
177,150,Theater Venues and Events,Events and Attractions: Theater Venues and Events,Events and Attractions,Theater Venues and Events,,,Events and Attractions > Theater Venues and Events,2,True,0
178,150,Zoos & Aquariums,Events and Attractions: Zoos & Aquariums,Events and Attractions,Zoos & Aquariums,,,Events and Attractions > Zoos & Aquariums,2,True,0
179,150,Bars & Restaurants,Events and Attractions: Bars & Restaurants,Events and Attractions,Bars & Restaurants,,,Events and Attractions > Bars & Restaurants,2,True,0
180,150,Business Expos & Conferences,Events and Attractions: Business Expos & Conferences,Events and Attractions,Business Expos & Conferences,,,Events and Attractions > Business Expos & Conferences,2,True,0
181,150,Casinos & Gambling,Events and Attractions: Casinos & Gambling,Events and Attractions,Casinos & Gambling,,,Events and Attractions > Casinos & Gambling,2,True,0
182,150,Cinemas and Events,Events and Attractions: Cinemas and Events,Events and Attractions,Cinemas and Events,,,Events and Attractions > Cinemas and Events,2,True,0
183,150,Comedy Events,Events and Attractions: Comedy Events,Events and Attractions,Comedy Events,,,Events and Attractions > Comedy Events,2,True,0
184,150,Concerts & Music Events,Events and Attractions: Concerts & Music Events,Events and Attractions,Concerts & Music Events,,,Events and Attractions > Concerts & Music Events,2,True,0
185,150,Fan Conventions,Events and Attractions: Fan Conventions,Events and Attractions,Fan Conventions,,,Events and Attractions > Fan Conventions,2,True,0
186,,Family and Relationships,Family and Relationships: Family and Relationships,Family and Relationships,,,,Family and Relationships,1,False,7
187,186,Bereavement,Family and Relationships: Bereavement,Family and Relationships,Bereavement,,,Family and Relationships > Bereavement,2,True,0
188,186,Dating,Family and Relationships: Dating,Family and Relationships,Dating,,,Family and Relationships > Dating,2,True,0
189,186,Divorce,Family and Relationships: Divorce,Family and Relationships,Divorce,,,Family and Relationships > Divorce,2,True,0
190,186,Eldercare,Family and Relationships: Eldercare,Family and Relationships,Eldercare,,,Family and Relationships > Eldercare,2,True,0
191,186,Marriage and Civil Unions,Family and Relationships: Marriage and Civil Unions,Family and Relationships,Marriage and Civil Unions,,,Family and Relationships > Marriage and Civil Unions,2,True,0
192,186,Parenting,Family and Relationships: Parenting,Family and Relationships,Parenting,,,Family and Relationships > Parenting,2,False,7
193,192,Adoption and Fostering,Family and Relationships: Adoption and Fostering,Family and Relationships,Parenting,Adoption and Fostering,,Family and Relationships > Parenting > Adoption and Fostering,3,True,0
194,192,Daycare and Pre-School,Family and Relationships: Daycare and Pre-School,Family and Relationships,Parenting,Daycare and Pre-School,,Family and Relationships > Parenting > Daycare and Pre-School,3,True,0
195,192,Internet Safety,Family and Relationships: Internet Safety,Family and Relationships,Parenting,Internet Safety,,Family and Relationships > Parenting > Internet Safety,3,True,0
196,192,Parenting Babies and Toddlers,Family and Relationships: Parenting Babies and Toddlers,Family and Relationships,Parenting,Parenting Babies and Toddlers,,Family and Relationships > Parenting > Parenting Babies and Toddlers,3,True,0
197,192,Parenting Children Aged 4-11,Family and Relationships: Parenting Children Aged 4-11,Family and Relationships,Parenting,Parenting Children Aged 4-11,,Family and Relationships > Parenting > Parenting Children Aged 4-11,3,True,0
198,192,Parenting Teens,Family and Relationships: Parenting Teens,Family and Relationships,Parenting,Parenting Teens,,Family and Relationships > Parenting > Parenting Teens,3,True,0
199,192,Special Needs Kids,Family and Relationships: Special Needs Kids,Family and Relationships,Parenting,Special Needs Kids,,Family and Relationships > Parenting > Special Needs Kids,3,True,0
200,186,Single Life,Family and Relationships: Single Life,Family and Relationships,Single Life,,,Family and Relationships > Single Life,2,True,0
201,,Fine Art,Fine Art: Fine Art,Fine Art,,,,Fine Art,1,False,8
202,201,Costume,Fine Art: Costume,Fine Art,Costume,,,Fine Art > Costume,2,True,0
203,201,Dance,Fine Art: Dance,Fine Art,Dance,,,Fine Art > Dance,2,True,0
204,201,Design,Fine Art: Design,Fine Art,Design,,,Fine Art > Design,2,True,0
205,201,Digital Arts,Fine Art: Digital Arts,Fine Art,Digital Arts,,,Fine Art > Digital Arts,2,True,0
